1,Massachusetts Institute of Technology (MIT),undefined,81.8
2,Princeton University,undefined,81.2
3,Stanford University,undefined,80.6
4,The University of Tokyo,undefined,74.7
5,California Institute of Technology,undefined,84.7
6,Harvard University,undefined,85.4
7,University of Chicago,undefined,82.1
8,University of California, Berkeley,undefined,83.4
9,Paris-Saclay University,undefined,86.6
10,PSL University,undefined,86.6
11,University of Cambridge,undefined,87.7
12,The University of Edinburgh,undefined,91.8
13,University of California, Santa Barbara,undefined,78.4
14,University of Colorado at Boulder,undefined,77.5
15,Sorbonne University,undefined,88.3
16,The University of Manchester,undefined,90.5
17,University of Washington,undefined,81.2
18,University of Geneva,undefined,93.9
19,Cornell University,undefined,79.1
20,University of Michigan-Ann Arbor,undefined,80.1
21,Columbia University,undefined,83.7
22,University of Maryland, College Park,undefined,80.1
23,University of Illinois at Urbana-Champaign,undefined,78.0
24,University of Oxford,undefined,89.3
25,Université libre de Bruxelles (ULB),undefined,91.4
26,Tsinghua University,undefined,66.0
27,University of Paris,undefined,90.6
28,The Australian National University,undefined,90.9
29,University of Munich,undefined,87.7
30,University of Science and Technology of China,undefined,62.9
31,ETH Zurich,undefined,87.3
31,Sapienza University of Rome,undefined,89.6
33,Nagoya University,undefined,71.7
34,University of California, Irvine,undefined,82.4
35,Peking University,undefined,68.9
36,Johns Hopkins University,undefined,82.4
37,University of Padua,undefined,92.0
38,Imperial College London,undefined,86.2
39,Université Grenoble Alpes,undefined,86.2
40,Kyoto University,undefined,70.8
41,University of Pennsylvania,undefined,80.4
42,Institut Polytechnique de Paris,undefined,87.5
43,Heidelberg University,undefined,91.0
44,University College London,undefined,88.6
45,Uppsala University,undefined,92.0
46,The Chinese University of Hong Kong,undefined,78.1
47,Brown University,undefined,81.5
48,University of Pisa,undefined,90.5
49,The Ohio State University - Columbus,undefined,85.6
50,University of Bologna,undefined,93.3
51-75,Aix Marseille University,undefined,88.1
51-75,Autonomous University of Madrid,undefined,91.6
51-75,Claude Bernard University Lyon 1,undefined,87.4
51-75,Moscow State University,undefined,73.8
51-75,Northwestern University,undefined,77.3
51-75,Radboud University Nijmegen,undefined,93.7
51-75,Seoul National University,undefined,72.5
51-75,Shanghai Jiao Tong University,undefined,65.7
51-75,Swiss Federal Institute of Technology Lausanne,undefined,88.4
51-75,The University of Glasgow,undefined,91.6
51-75,The University of Texas at Austin,undefined,81.5
51-75,University of Birmingham,undefined,93.3
51-75,University of Bonn,undefined,91.5
51-75,University of California, Los Angeles,undefined,82.8
51-75,University of Copenhagen,undefined,94.2
51-75,University of Genoa,undefined,93.1
51-75,University of Hamburg,undefined,88.4
51-75,University of Mainz,undefined,91.3
51-75,University of Minnesota, Twin Cities,undefined,79.9
51-75,University of Naples Federico II,undefined,91.7
51-75,University of Roma - Tor Vergata,undefined,91.6
51-75,University of Toronto,undefined,87.3
51-75,University of Waterloo,undefined,80.1
51-75,University of Wisconsin - Madison,undefined,82.4
51-75,University of Zurich,undefined,93.0
51-75,Yale University,undefined,86.4
76-100,Monash University,undefined,89.1
76-100,Nanjing University,undefined,62.9
76-100,Pennsylvania State University - University Park,undefined,80.4
76-100,RWTH Aachen University,undefined,83.5
76-100,Scuola Normale Superiore - Pisa,undefined,92.0
76-100,Stockholm University,undefined,94.6
76-100,Tel Aviv University,undefined,86.1
76-100,The University of Melbourne,undefined,88.3
76-100,University of Amsterdam,undefined,93.0
76-100,University of Barcelona,undefined,90.5
76-100,University of Bristol,undefined,88.9
76-100,University of British Columbia,undefined,88.9
76-100,University of California, San Diego,undefined,79.4
76-100,University of Florida,undefined,84.1
76-100,University of Groningen,undefined,93.4
76-100,University of Massachusetts Amherst,undefined,87.5
76-100,University of Perugia,undefined,93.2
76-100,University of Southampton,undefined,88.8
76-100,University of Trento,undefined,92.0
76-100,University of Turin,undefined,93.2
76-100,University of Valencia,undefined,92.4
76-100,University of Warsaw,undefined,87.5
76-100,University of Warwick,undefined,90.9
76-100,Weizmann Institute of Science,undefined,90.1
101-150,Autonomous University of Barcelona,undefined,91.4
101-150,Boston University,undefined,85.5
101-150,Carnegie Mellon University,undefined,83.6
101-150,Charles University in Prague,undefined,90.2
101-150,Duke University,undefined,81.0
101-150,Eotvos Lorand University,undefined,91.8
101-150,Georgia Institute of Technology,undefined,76.7
101-150,Indiana University Bloomington,undefined,88.6
101-150,Karlsruhe Institute of Technology (KIT),undefined,85.6
101-150,King's College London,undefined,87.9
101-150,KTH Royal Institute of Technology,undefined,91.8
101-150,Leiden University,undefined,94.3
101-150,Lund University,undefined,91.8
