1	Massachusetts Institute of Technology (MIT)	undefined	100.0
2	Princeton University	undefined	100.0
3	Stanford University	undefined	79.5
4	The University of Tokyo	undefined	69.7
5	California Institute of Technology	undefined	78.6
6	Harvard University	undefined	63.0
7	University of Chicago	undefined	59.4
8	University of California, Berkeley	undefined	66.4
9	Paris-Saclay University	undefined	36.4
10	PSL University	undefined	64.2
11	University of Cambridge	undefined	29.7
12	The University of Edinburgh	undefined	59.4
13	University of California, Santa Barbara	undefined	70.7
14	University of Colorado at Boulder	undefined	77.2
15	Sorbonne University	undefined	0.0
16	The University of Manchester	undefined	72.8
17	University of Washington	undefined	63.0
18	University of Geneva	undefined	51.4
19	Cornell University	undefined	64.2
20	University of Michigan-Ann Arbor	undefined	29.7
21	Columbia University	undefined	34.3
22	University of Maryland, College Park	undefined	0.0
23	University of Illinois at Urbana-Champaign	undefined	42.0
24	University of Oxford	undefined	0.0
25	Université libre de Bruxelles (ULB)	undefined	59.4
26	Tsinghua University	undefined	0.0
27	University of Paris	undefined	0.0
28	The Australian National University	undefined	42.0
29	University of Munich	undefined	25.7
30	University of Science and Technology of China	undefined	0.0
31	ETH Zurich	undefined	0.0
31	Sapienza University of Rome	undefined	0.0
33	Nagoya University	undefined	59.4
34	University of California, Irvine	undefined	42.0
35	Peking University	undefined	0.0
36	Johns Hopkins University	undefined	29.7
37	University of Padua	undefined	0.0
38	Imperial College London	undefined	0.0
39	Université Grenoble Alpes	undefined	0.0
40	Kyoto University	undefined	25.7
41	University of Pennsylvania	undefined	36.4
42	Institut Polytechnique de Paris	undefined	29.7
43	Heidelberg University	undefined	0.0
44	University College London	undefined	0.0
45	Uppsala University	undefined	29.7
46	The Chinese University of Hong Kong	undefined	36.4
47	Brown University	undefined	42.0
48	University of Pisa	undefined	0.0
49	The Ohio State University - Columbus	undefined	0.0
50	University of Bologna	undefined	0.0
51-75	Aix Marseille University	undefined	0.0
51-75	Autonomous University of Madrid	undefined	0.0
51-75	Claude Bernard University Lyon 1	undefined	0.0
51-75	Moscow State University	undefined	0.0
51-75	Northwestern University	undefined	0.0
51-75	Radboud University Nijmegen	undefined	0.0
51-75	Seoul National University	undefined	0.0
51-75	Shanghai Jiao Tong University	undefined	0.0
51-75	Swiss Federal Institute of Technology Lausanne	undefined	0.0
51-75	The University of Glasgow	undefined	0.0
51-75	The University of Texas at Austin	undefined	0.0
51-75	University of Birmingham	undefined	0.0
51-75	University of Bonn	undefined	21.0
51-75	University of California, Los Angeles	undefined	0.0
51-75	University of Copenhagen	undefined	0.0
51-75	University of Genoa	undefined	0.0
51-75	University of Hamburg	undefined	0.0
51-75	University of Mainz	undefined	0.0
51-75	University of Minnesota, Twin Cities	undefined	0.0
51-75	University of Naples Federico II	undefined	0.0
51-75	University of Roma - Tor Vergata	undefined	0.0
51-75	University of Toronto	undefined	0.0
51-75	University of Waterloo	undefined	42.0
51-75	University of Wisconsin - Madison	undefined	0.0
51-75	University of Zurich	undefined	0.0
51-75	Yale University	undefined	0.0
76-100	Monash University	undefined	0.0
76-100	Nanjing University	undefined	0.0
76-100	Pennsylvania State University - University Park	undefined	0.0
76-100	RWTH Aachen University	undefined	0.0
76-100	Scuola Normale Superiore - Pisa	undefined	0.0
76-100	Stockholm University	undefined	0.0
76-100	Tel Aviv University	undefined	0.0
76-100	The University of Melbourne	undefined	0.0
76-100	University of Amsterdam	undefined	0.0
76-100	University of Barcelona	undefined	0.0
76-100	University of Bristol	undefined	0.0
76-100	University of British Columbia	undefined	0.0
76-100	University of California, San Diego	undefined	0.0
76-100	University of Florida	undefined	0.0
76-100	University of Groningen	undefined	0.0
76-100	University of Massachusetts Amherst	undefined	0.0
76-100	University of Perugia	undefined	0.0
76-100	University of Southampton	undefined	0.0
76-100	University of Trento	undefined	0.0
76-100	University of Turin	undefined	0.0
76-100	University of Valencia	undefined	0.0
76-100	University of Warsaw	undefined	0.0
76-100	University of Warwick	undefined	0.0
76-100	Weizmann Institute of Science	undefined	0.0
101-150	Autonomous University of Barcelona	undefined	0.0
101-150	Boston University	undefined	0.0
101-150	Carnegie Mellon University	undefined	0.0
101-150	Charles University in Prague	undefined	0.0
101-150	Duke University	undefined	0.0
101-150	Eotvos Lorand University	undefined	0.0
101-150	Georgia Institute of Technology	undefined	0.0
101-150	Indiana University Bloomington	undefined	0.0
101-150	Karlsruhe Institute of Technology (KIT)	undefined	0.0
101-150	King's College London	undefined	0.0
101-150	KTH Royal Institute of Technology	undefined	0.0
101-150	Leiden University	undefined	0.0
101-150	Lund University	undefined	0.0
101-150	Michigan State University	undefined	0.0
101-150	Nanyang Technological University	undefined	0.0
101-150	National and Kapodistrian University of Athens	undefined	0.0
101-150	National University of Singapore	undefined	0.0
101-150	Novosibirsk State University	undefined	0.0
101-150	Purdue University - West Lafayette	undefined	0.0
101-150	Rice University	undefined	0.0
101-150	Rutgers, The State University of New Jersey - New Brunswick	undefined	0.0
101-150	Stony Brook University	undefined	0.0
101-150	Syracuse University	undefined	0.0
101-150	Technical University of Munich	undefined	0.0
101-150	Texas A&M University	undefined	0.0
101-150	The University of Adelaide	undefined	0.0
101-150	The University of Sheffield	undefined	0.0
101-150	TU Dresden	undefined	0.0
101-150	University College Dublin	undefined	0.0
101-150	University of Arizona	undefined	0.0
101-150	University of Bern	undefined	0.0
101-150	University of California, Davis	undefined	0.0
101-150	University of California, Riverside	undefined	0.0
101-150	University of California, Santa Cruz	undefined	0.0
101-150	University of Clermont Auvergne	undefined	0.0
101-150	University of Côte d'Azur	undefined	0.0
101-150	University of Innsbruck	undefined	0.0
101-150	University of Liverpool	undefined	0.0
101-150	University of Milan	undefined	0.0
